%Automatically built ARFF-file
%Feature sets: ['max_sentiment', 'min_sentiment', 'avg_sentiment_no_neutral', 'baseline', 'avg_sentiment_no_neutral_unigrams']
@RELATION sentiment

@ATTRIBUTE avg_sentiment_no_neutral NUMERIC
@ATTRIBUTE avg_sentiment_no_neutral_unigrams NUMERIC
@ATTRIBUTE baseline NUMERIC
@ATTRIBUTE max_sentiment NUMERIC
@ATTRIBUTE min_sentiment NUMERIC
@ATTRIBUTE sentiment {"-", "+"}

@DATA
0.69444,0.536112,0.5094448,0.69444,0.5,"+"
?,0.768516666667,0.547222,0.5,0.5,"+"
?,0.27778,0.4652775,0.5,0.5,"-"
?,0.11111,0.493056071429,0.5,0.5,"+"
0.63889,0.554396666667,0.50711,0.63889,0.5,"+"
0.94444,0.577778,0.521825238095,0.94444,0.5,"+"
0.72222,0.416665,0.5,0.72222,0.5,"+"
0.83333,0.534723333333,0.501984285714,0.83333,0.5,"+"
?,0.60648,0.524620454545,0.5,0.5,"+"
0.76389,0.72222,0.515625,0.76389,0.5,"+"
0.83333,0.574076666667,0.537038333333,0.83333,0.5,"+"
?,0.439813333333,0.496376521739,0.5,0.48611,"+"
0.75,0.743055,0.5312505,0.75,0.5,"+"
?,?,0.503268235294,0.5,0.5,"-"
0.80556,0.618055,0.513157894737,0.80556,0.5,"+"
0.22222,0.574073333333,0.506313181818,0.5,0.22222,"-"
?,0.616668,0.526190857143,0.55556,0.5,"+"
?,0.875,0.534090909091,0.5,0.5,"+"
?,0.419445,0.464120416667,0.5,0.44444,"+"
0.61111,0.502778,0.501543055556,0.61111,0.5,"+"
?,0.625,0.512626363636,0.5,0.5,"+"
0.375,0.375,0.416665,0.45833,0.375,"-"
0.875,0.671296666667,0.536764117647,0.875,0.5,"+"
?,0.77778,0.5347225,0.5,0.5,"+"
?,0.293055,0.497685,0.5,0.5,"-"
0.80556,0.88889,0.53588,0.80556,0.5,"+"
0.66667,0.90278,0.5395835,0.66667,0.5,"+"
?,0.625,0.525252727273,0.56944,0.5,"+"
?,?,0.51736125,0.5,0.5,"+"
?,0.511112,0.50224,0.51389,0.5,"+"
?,?,0.503086666667,0.5,0.5,"+"
0.66667,0.609567777778,0.536616363636,0.66667,0.5,"+"
?,0.5770825,0.546295,0.59722,0.5,"+"
?,0.68056,0.51389,0.51389,0.5,"+"
0.66667,0.527775,0.499999090909,0.66667,0.5,"+"
?,0.75,0.52691,0.5,0.5,"+"
?,0.66667,0.527778571429,0.5,0.5,"+"
0.69444,?,0.501067692308,0.69444,0.5,"+"
0.77778,0.57118,0.517909210526,0.77778,0.5,"+"
0.70833,0.493055,0.49392375,0.70833,0.5,"+"
?,0.506945,0.505824516129,0.51389,0.5,"+"
0.875,0.694445,0.54079875,0.875,0.5,"+"
0.65278,0.726853333333,0.544753888889,0.65278,0.5,"+"
0.72222,0.75,0.528292592593,0.72222,0.45833,"+"
?,0.77778,0.531565909091,0.55556,0.5,"+"
?,0.699073333333,0.525132380952,0.5,0.5,"+"
?,?,0.519006315789,0.5,0.5,"+"
0.72222,0.593888,0.512896428571,0.72222,0.5,"+"
?,0.8125,0.568181818182,0.5,0.5,"+"
?,0.73611,0.534091818182,0.54167,0.5,"+"
0.76389,0.613095714286,0.528273928571,0.76389,0.5,"+"
?,0.5972225,0.515556,0.56944,0.5,"+"
?,0.38889,0.479532105263,0.5,0.5,"+"
0.794511818182,0.59259,0.5083332,0.80556,0.31944,"+"
?,0.712963333333,0.527282142857,0.58333,0.5,"+"
0.875,0.72222,0.561727777778,0.875,0.5,"+"
0.29167,?,0.507353529412,0.5,0.29167,"-"
?,0.756945,0.530864444444,0.5,0.44444,"+"
0.23611,0.16667,0.481060909091,0.5,0.23611,"-"
0.91667,0.6875,0.553819375,0.91667,0.5,"+"
?,0.66667,0.517473548387,0.54167,0.5,"+"
0.91667,0.574076666667,0.529515,0.91667,0.5,"+"
0.69444,0.819445,0.531401304348,0.69444,0.5,"+"
?,0.729165,0.557098888889,0.5,0.5,"+"
0.81944,0.666666666667,0.528408636364,0.81944,0.5,"+"
?,0.694443333333,0.522436153846,0.56944,0.5,"+"
0.625,0.458888,0.513117222222,0.625,0.5,"-"
?,0.72222,0.511111,0.5,0.43056,"+"
0.88889,0.731481666667,0.559156296296,0.88889,0.5,"+"
0.90278,0.567461428571,0.517094230769,0.90278,0.5,"+"
?,0.510415,0.500407941176,0.5,0.5,"+"
?,0.824073333333,0.548610909091,0.55556,0.5,"+"
0.70833,0.80556,0.515523529412,0.70833,0.5,"+"
0.97222,0.768516666667,0.622862307692,0.97222,0.5,"+"
?,0.533334,0.498015714286,0.5,0.5,"+"
?,0.604165,0.530093333333,0.5,0.5,"+"
